# Describe noise sources and SOUND POWER LEVEL (dB) in format ID, Tag string, X Pos, Y Pos, Z Pos,63Hz,125Hz,250Hz,500Hz,1000Hz,2000Hz,4000Hz,8000Hz
1,Generator1,0,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
2,Generator2,-4.938,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
3,Generator3,-9.876,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
4,Generator4,-19.752,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
5,Generator5,-24.69,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
6,Generator6,-29.628,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
7,Generator7,37.018,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
8,Generator8,32.08,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
9,Generator9,27.142,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
10,Generator10,17.266,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
11,Generator11,12.328,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
12,Generator12,7.39,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
13,Generator13,0,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
14,Generator14,-4.938,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
15,Generator15,-9.876,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
16,Generator16,-19.752,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
17,Generator17,-24.69,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
18,Generator18,-29.628,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
19,Generator19,37.018,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
20,Generator20,32.08,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
21,Generator21,27.142,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
22,Generator22,17.266,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
23,Generator23,12.328,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
24,Generator24,7.39,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
25,Generator25,0,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
26,Generator26,-4.938,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
27,Generator27,-9.876,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
28,Generator28,-19.752,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
29,Generator29,-24.69,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
30,Generator30,-29.628,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
31,Generator31,37.018,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
32,Generator32,32.08,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
33,Generator33,27.142,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
34,Generator34,17.266,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
35,Generator35,12.328,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
36,Generator36,7.39,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
37,Generator37,0,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
38,Generator38,-4.938,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
39,Generator39,-9.876,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
40,Generator40,-19.752,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
41,Generator41,-24.69,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
42,Generator42,-29.628,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
43,Generator43,37.018,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
44,Generator44,32.08,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
45,Generator45,27.142,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
46,Generator46,17.266,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
47,Generator47,12.328,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
48,Generator48,7.39,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
49,Generator49,0,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
50,Generator50,-4.938,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
51,Generator51,-9.876,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
52,Generator52,-19.752,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
53,Generator53,-24.69,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
54,Generator54,-29.628,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
55,Generator55,37.018,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
56,Generator56,32.08,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
57,Generator57,27.142,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
58,Generator58,17.266,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
59,Generator59,12.328,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
60,Generator60,7.39,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
61,Generator61,0,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
62,Generator62,-4.938,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
63,Generator63,-9.876,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
64,Generator64,-19.752,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
65,Generator65,-24.69,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
66,Generator66,-29.628,-78.265,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
67,Generator67,37.018,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
68,Generator68,32.08,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
69,Generator69,27.142,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
70,Generator70,17.266,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
71,Generator71,12.328,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
72,Generator72,7.39,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
73,Generator73,0,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
74,Generator74,-4.938,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
75,Generator75,-9.876,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
76,Generator76,-19.752,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
77,Generator77,-24.69,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
78,Generator78,-29.628,-94.318,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
79,Generator79,37.018,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
80,Generator80,32.08,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
81,Generator81,27.142,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
82,Generator82,17.266,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
83,Generator83,12.328,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
84,Generator84,7.39,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
85,Generator85,0,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
86,Generator86,-4.938,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
87,Generator87,-9.876,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
88,Generator88,-19.752,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
89,Generator89,-24.69,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
90,Generator90,-29.628,-110.371,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
91,Generator91,-44.016,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
92,Generator92,-48.954,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
93,Generator93,-53.892,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
94,Generator94,-63.768,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
95,Generator95,-68.706,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
96,Generator96,-73.644,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
97,Generator97,-81.034,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
98,Generator98,-85.972,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
99,Generator99,-90.91,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
100,Generator100,-100.786,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
101,Generator101,-105.724,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
102,Generator102,-110.662,-63.212,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
103,Generator103,-44.016,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
104,Generator104,-48.954,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
105,Generator105,-53.892,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
106,Generator106,-63.768,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
107,Generator107,-68.706,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
108,Generator108,-73.644,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
109,Generator109,-81.034,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
110,Generator110,-85.972,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
111,Generator111,-90.91,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
112,Generator112,-100.786,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
113,Generator113,-105.724,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
114,Generator114,-110.662,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
115,Generator115,-44.016,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
116,Generator116,-48.954,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
117,Generator117,-53.892,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
